label,count,mean,std,min,25%,50%,75%,max
case,248840.0,-0.8711562447570325,0.9720601567112842,-5.2535095854801295,-1.5248441118780085,-0.8707661122343662,-0.21671139616002516,3.371163228101452
control,248797.0,0.9734913937127028,0.9742671749161054,-3.291697837737176,0.31482386803054263,0.9710459450071812,1.6332553132168917,5.166685284724982
